Date;Station;X;Y;Z
2022-01-02;NSK1;436462.99809743994;3547037.8814022136;5265322.602985776
2022-01-02;OHFN;442185.0882690677;3570738.1127554965;5248890.846796971
2022-01-02;INOY;460287.5419013542;3558518.700034552;5255597.584701811
2022-01-02;FIIV;463032.71606437577;3539744.752027265;5267943.6331204465
2022-01-09;NSK1;436463.0013499493;3547037.8855349994;5265322.606642746
2022-01-09;OHFN;442185.09145269764;3570738.116819403;5248890.850385062
2022-01-09;INOY;460287.5429126027;3558518.701926077;5255597.586117521
2022-01-09;FIIV;463032.7132477147;3539744.7500908803;5267943.630708247
2022-01-16;NSK1;436462.9989608436;3547037.884009369;5265322.604751983
2022-01-16;OHFN;442185.08954290405;3570738.115773085;5248890.8489736095
2022-01-16;INOY;460287.5417773887;3558518.7016543383;5255597.585480648
2022-01-16;FIIV;463032.7120054862;3539744.7497121273;5267943.62996436
2022-01-23;NSK1;436462.99651375954;3547037.8823964735;5265322.602891211
2022-01-23;OHFN;442185.0896516506;3570738.11671602;5248890.8496686695
2022-01-23;INOY;460287.53858413576;3558518.699295274;5255597.582873709
2022-01-23;FIIV;463032.710592261;3539744.7491330905;5267943.629137448
2022-01-30;NSK1;436462.994824601;3547037.8815032896;5265322.601870485
2022-01-30;OHFN;442185.0834709581;3570738.1113313017;5248890.844156409
2022-01-30;INOY;460287.5371795345;3558518.6986866468;5255597.582137539
2022-01-30;FIIV;463032.7100633165;3539744.7494001207;5267943.629276935
2022-02-06;NSK1;436462.9962847325;3547037.883716295;5265322.604075789
2022-02-06;OHFN;442185.0842595423;3570738.1128727603;5248890.845690167
2022-02-06;INOY;460287.5370154951;3558518.6992754815;5255597.582718673
2022-02-06;FIIV;463032.71119169175;3539744.75128137;5267943.631150484
2022-02-13;NSK1;436462.9959702441;3547037.8841109495;5265322.604578652
2022-02-13;OHFN;442185.08419950993;3570738.1135218707;5248890.846447485
2022-02-13;INOY;460287.5356441123;3558518.698613242;5255597.5821646415
2022-02-13;FIIV;463032.71110751363;3539744.7519063344;5267943.631883657
2022-02-20;NSK1;436462.99231011764;3547037.881119809;5265322.601804488
2022-02-20;OHFN;442185.0851626618;3570738.1151540084;5248890.848296599
2022-02-20;INOY;460287.5400980935;3558518.7037362084;5255597.587504585
