Date;Station;X;Y;Z
03.04.2022;OHFN;442185.0836000275;3570738.1173630045;5248890.853406575
03.04.2022;INOY;460287.5377272254;3558518.705136971;5255597.591806327
03.04.2022;FIIV;463032.70742954477;3539744.7526689824;5267943.63576426
10.04.2022;OHFN;442185.08049636596;3570738.11497881;5248890.851635612
10.04.2022;INOY;460287.5350613862;3558518.7031905986;5255597.590473186
10.04.2022;FIIV;463032.7055235488;3539744.7514824527;5267943.635190963
17.04.2022;OHFN;442185.1311425753;3570738.1664045556;5248890.903673518
17.04.2022;INOY;460287.53682143963;3558518.7057301886;5255597.593624937
17.04.2022;FIIV;463032.70565379853;3539744.752392239;5267943.636712911
24.04.2022;OHFN;442185.0830671766;3570738.1191757987;5248890.857044327
24.04.2022;INOY;460287.533230902;3558518.702986293;5255597.591480606
24.04.2022;FIIV;463032.69994881743;3539744.7475338997;5267943.632454135
