Date;Station;X;Y;Z
2022-01-02;NSK1;436462.9954182844;3547037.878723058;5265322.60030662
2022-01-02;NUNA;460122.34445086325;3535053.1633704016;5271334.280164941
2022-01-02;WTFM;459648.38168275816;3552282.856246726;5259827.89939848
2022-01-02;IINA;431923.20202336105;3529050.913233049;5277710.970946472
2022-01-02;KQTD;454059.6344853711;3516807.3757223915;5283944.107186118
2022-01-02;ECZL;434793.9078390889;3509795.1817696253;5290180.089036384
2022-01-02;YBTT;441271.812070239;3569835.3812961965;5249606.652192679
2022-01-02;UNPX;408436.88710697246;3545350.8898079717;5268697.266608436
2022-01-02;LDPU;462059.1645532052;3573246.5190351424;5245503.914689209
2022-01-02;JFVT;416794.49861719704;3518321.4540956668;5285997.7448496595
2022-01-09;NSK1;436462.9991434354;3547037.883328486;5265322.604436233
2022-01-09;NUNA;460122.3439902385;3535053.1637900537;5271334.280108778
2022-01-09;WTFM;459648.3771199691;3552282.852564214;5259827.895240152
2022-01-09;IINA;431923.19801718235;3529050.910107147;5277710.967344755
2022-01-09;KQTD;454059.63427543716;3516807.3763927342;5283944.107380646
2022-01-09;ECZL;434793.9035317024;3509795.178342515;5290180.085133459
2022-01-09;YBTT;441271.8070698116;3569835.377176046;5249606.647596713
2022-01-09;UNPX;408436.88248524163;3545350.8860665173;5268697.262391167
2022-01-09;LDPU;462059.15871767077;3573246.5140798846;5245503.9092581365
2022-01-09;JFVT;416794.4969642825;3518321.453323029;5285997.743601206
2022-01-16;NSK1;436462.99816028273;3547037.8832088085;5265322.603951422
2022-01-16;NUNA;460122.3428175716;3535053.163480862;5271334.279434453
2022-01-16;WTFM;459648.37371220876;3552282.8500199285;5259827.892330733
2022-01-16;IINA;431923.19481694105;3529050.9077703813;5277710.964642855
2022-01-16;KQTD;454059.6306767758;3516807.3736575483;5283944.104280326
2022-01-16;ECZL;434793.9015864472;3509795.1772607355;5290180.0836865455
2022-01-16;YBTT;441271.80677460786;3569835.3777443175;5249606.647799851
2022-01-16;UNPX;408436.88417375967;3545350.8886185107;5268697.264578026
2022-01-16;LDPU;462059.1615596406;3573246.51778533;5245503.912598448
2022-01-16;JFVT;416794.4998468526;3518321.4570690743;5285997.746982118
2022-01-23;NSK1;436462.9975380378;3547037.883420752;5265322.60391549
2022-01-23;NUNA;460122.34483730426;3535053.166334783;5271334.282040499
2022-01-23;WTFM;459648.3803864423;3552282.857528351;5259827.89959128
2022-01-23;IINA;431923.20080800826;3529050.914595637;5277710.971220235
2022-01-23;KQTD;454059.6318273556;3516807.3756423164;5283944.106017219
2022-01-23;ECZL;434793.9067007961;3509795.183209273;5290180.089387207
2022-01-23;YBTT;441271.80772431294;3569835.379528211;5249606.64933587
2022-01-23;UNPX;408436.88341259275;3545350.8886915324;5268697.264403173
2022-01-23;LDPU;462059.1582508797;3573246.5153107573;5245503.909876
2022-01-23;JFVT;416794.496857321;3518321.454913731;5285997.7445789
2022-01-30;NSK1;436462.99509269325;3547037.881771382;5265322.602138576
2022-01-30;NUNA;460122.34278184525;3535053.1650752984;5271334.280653471
2022-01-30;WTFM;459648.37809242995;3552282.856030313;5259827.8979656985
2022-01-30;IINA;431923.19977333496;3529050.914356938;5277710.970853994
2022-01-30;KQTD;454059.63302750967;3516807.377638445;5283944.107885804
2022-01-30;ECZL;434793.9049439089;3509795.18224836;5290180.088298752
2022-01-30;YBTT;441271.81110334775;3569835.38370322;5249606.653383336
2022-01-30;UNPX;408436.8865440341;3545350.892618948;5268697.268203044
2022-01-30;LDPU;462059.15918734827;3573246.5170432003;5245503.9114809
2022-01-30;JFVT;416794.5002851456;3518321.45913753;5285997.748675155
2022-02-06;NSK1;436462.9984700065;3547037.885901569;5265322.606261063
2022-02-06;NUNA;460122.345221566;3535053.168267893;5271334.283838365
2022-02-06;WTFM;459648.38139229256;3552282.860083049;5259827.902010735
2022-02-06;IINA;431923.2010516477;3529050.9163881247;5277710.97287748
2022-02-06;KQTD;454059.63442021416;3516807.3797840234;5283944.110023683
2022-02-06;ECZL;434793.903545229;3509795.181602554;5290180.087645246
2022-02-06;YBTT;441271.80669993174;3569835.3800526783;5249606.6497250935
2022-02-06;UNPX;408436.8832687441;3545350.890096532;5268697.265672929
2022-02-06;LDPU;462059.1599220597;3573246.5185307856;5245503.912960785
2022-02-06;JFVT;416794.4956482979;3518321.4552535564;5285997.744783482
2022-02-13;NSK1;436462.9934423876;3547037.881583093;5265322.602050795
2022-02-13;NUNA;460122.3405075533;3535053.1642630235;5271334.279941703
2022-02-13;WTFM;459648.3751913944;3552282.854591294;5259827.896627188
2022-02-13;IINA;431923.19745060615;3529050.913496226;5277710.9700937895
2022-02-13;KQTD;454059.6306525466;3516807.3767254986;5283944.107073366
2022-02-13;ECZL;434793.90346635523;3509795.182232823;5290180.088383723
2022-02-13;YBTT;441271.80745637487;3569835.3815182643;5249606.651298887
2022-02-13;UNPX;408436.88373751944;3545350.8912744503;5268697.266959055
2022-02-13;LDPU;462059.1611454086;3573246.5204632776;5245503.915001485
2022-02-13;JFVT;416794.49517680355;3518321.455491205;5285997.7451293375
2022-02-20;NSK1;436462.9920086907;3547037.880818382;5265322.601503061
2022-02-20;NUNA;460122.34325209673;3535053.1676765527;5271334.28357221
2022-02-20;WTFM;459648.3757172398;3552282.855786125;5259827.898038996
2022-02-20;IINA;431923.19441284507;3529050.911127451;5277710.967941991
2022-02-20;KQTD;454059.6277651108;3516807.3745070486;5283944.105071893
2022-02-20;ECZL;434793.8995790355;3509795.179014489;5290180.085382366
2022-02-20;YBTT;441271.8059086201;3569835.3806394953;5249606.650637095
2022-02-20;UNPX;408436.8787781082;3545350.886984025;5268697.262885606
2022-02-20;LDPU;462059.15772622195;3573246.5177130764;5245503.912468261
2022-02-20;JFVT;416794.49374513904;3518321.4547285265;5285997.744583636
2022-02-27;NSK1;436462.99014601135;3547037.879591984;5265322.600592459
2022-02-27;NUNA;460122.33952230524;3535053.164583043;5271334.280794495
2022-02-27;WTFM;459648.37177433056;3552282.852479498;5259827.895048164
2022-02-27;IINA;431923.19704036636;3529050.914391254;5277710.971521589
2022-02-27;KQTD;454059.62814039714;3516807.3755186168;5283944.106399256
2022-02-27;ECZL;434793.8967028854;3509795.176774621;5290180.083458292
2022-02-27;YBTT;441271.8039187194;3569835.379285876;5249606.649599272
2022-02-27;UNPX;408436.877291679;3545350.8861338776;5268697.262351254
2022-02-27;LDPU;462059.15310491686;3573246.5137280533;5245503.908799033
2022-02-27;JFVT;416794.4953794741;3518321.456999143;5285997.747170048
2022-03-06;NSK1;436462.9907003724;3547037.8807606883;5265322.602163516
2022-03-06;NUNA;460122.33726388565;3535053.162938966;5271334.279552772
2022-03-06;WTFM;459648.37099683634;3552282.852316346;5259827.895287366
2022-03-06;IINA;431923.19378607295;3529050.9117513034;5277710.9692839915
2022-03-06;KQTD;454059.625273206;3516807.3732657684;5283944.104548761
2022-03-06;ECZL;434793.8979801927;3509795.178666271;5290180.085752295
2022-03-06;YBTT;441271.8023609379;3569835.3783424376;5249606.6490581855
2022-03-06;UNPX;408436.8790158075;3545350.8884723485;5268697.265092079
2022-03-06;LDPU;462059.15500345017;3573246.5162409293;5245503.911714261
2022-03-06;JFVT;416794.4965520541;3518321.4587860657;5285997.749359324
2022-03-13;NSK1;436462.99145396164;3547037.8821199676;5265322.603997721
2022-03-13;NUNA;460122.34102909797;3535053.1673098686;5271334.2843985995
2022-03-13;WTFM;459648.37340602116;3552282.855331221;5259827.898777166
2022-03-13;IINA;431923.1947861986;3529050.9133571186;5277710.971364734
2022-03-13;KQTD;454059.62594476494;3516807.3745430172;5283944.106300936
2022-03-13;ECZL;434793.8991240818;3509795.18041585;5290180.0879768
2022-03-13;YBTT;441271.8065447804;3569835.3831319697;5249606.654322645
2022-03-13;UNPX;408436.87801498093;3545350.888077212;5268697.265171868
2022-03-13;LDPU;462059.15812046325;3573246.5199636323;5245503.915911891
2022-03-13;JFVT;416794.49425330875;3518321.4570930107;5285997.748141195
2022-03-20;NSK1;436462.99432515906;3547037.885603069;5265322.608013244
2022-03-20;NUNA;460122.3393051713;3535053.1661978457;5271334.283818999
2022-03-20;WTFM;459648.37509105855;3552282.8576281625;5259827.90160653
2022-03-20;IINA;431923.1959552319;3529050.915138056;5277710.9736780925
2022-03-20;KQTD;454059.6320401749;3516807.381250331;5283944.113540672
2022-03-20;ECZL;434793.8994332043;3509795.1813368765;5290180.089430249
2022-03-20;YBTT;441271.8072613378;3569835.3844604315;5249606.656183528
2022-03-20;UNPX;408436.8819411879;3545350.892615323;5268697.270242401
2022-03-20;LDPU;462059.163301843;3573246.525756916;5245503.9222375965
2022-03-20;JFVT;416794.4966935778;3518321.4601451834;5285997.75172579
2022-03-27;NSK1;436462.9930639365;3547037.8849753495;5265322.60795993
2022-03-27;NUNA;460122.3401289746;3535053.1676551523;5271334.28585071
2022-03-27;WTFM;459648.37515837577;3552282.8583289827;5259827.902881755
2022-03-27;IINA;431923.1925011808;3529050.912317508;5277710.971431949
2022-03-27;KQTD;454059.6251035837;3516807.3749472434;5283944.107811988
2022-03-27;ECZL;434793.8949739248;3509795.1775111;5290180.086178877
2022-03-27;YBTT;441271.8010549307;3569835.3788875276;5249606.651185028
2022-03-27;UNPX;408436.8792158443;3545350.8905234826;5268697.268724965
2022-03-27;LDPU;462059.15481655346;3573246.5179051296;5245503.914960215
2022-03-27;JFVT;416794.49378389644;3518321.4578690054;5285997.750024016
2022-04-03;NSK1;436462.99100291275;3547037.883584235;5265322.607169893
2022-04-03;NUNA;460122.3393081976;3535053.1675042845;5271334.28630092
2022-04-03;WTFM;459648.3709199829;3552282.854760499;5259827.8999143485
2022-04-03;IINA;431923.19128970266;3529050.911775939;5277710.971491458
2022-04-03;KQTD;454059.62854604644;3516807.379059615;5283944.112525438
2022-04-03;ECZL;434793.8952438808;3509795.1784509653;5290180.08771982
2022-04-03;YBTT;441271.7978021567;3569835.3763046623;5249606.649203242
2022-04-03;UNPX;408436.87454647024;3545350.886524018;5268697.265326578
2022-04-03;LDPU;462059.1550138857;3573246.518772371;5245503.916428534
2022-04-03;JFVT;416794.4884616641;3518321.453216682;5285997.74597277
2022-04-10;NSK1;436462.98839185946;3547037.8816926484;5265322.605891539
2022-04-10;NUNA;460122.33666139917;3535053.1655769525;5271334.284986821
2022-04-10;WTFM;459648.3687977736;3552282.8533577565;5259827.899124838
2022-04-10;IINA;431923.1932246949;3529050.914430398;5277710.974759149
2022-04-10;KQTD;454059.625166314;3516807.3763993494;5283944.110478405
2022-04-10;ECZL;434793.8957878451;3509795.179714396;5290180.089596484
2022-04-10;YBTT;441271.8013073332;3569835.380529306;5249606.654041117
2022-04-10;UNPX;408436.874368981;3545350.887065995;5268697.266481788
2022-04-10;LDPU;462059.1515766475;3573246.5160545995;5245503.914323995
2022-04-10;JFVT;416794.4872637906;3518321.4527382753;5285997.746107596
2022-04-17;NSK1;436462.9851748033;3547037.8792551286;5265322.60406618
2022-04-17;NUNA;460122.3349414492;3535053.1646365393;5271334.284658568
2022-04-17;WTFM;459648.36673282715;3552282.8520723465;5259827.898451589
2022-04-17;IINA;431923.1892975553;3529050.911282795;5277710.9722237075
2022-04-17;KQTD;454059.62467155524;3516807.376684127;5283944.111375343
2022-04-17;ECZL;434793.8943214218;3509795.1790275094;5290180.089521758
2022-04-17;YBTT;441271.8017917267;3569835.381793236;5249606.655917208
2022-04-17;UNPX;408436.8739519694;3545350.88742852;5268697.267456474
2022-04-17;LDPU;462059.15194694663;3573246.517204435;5245503.916085992
2022-04-17;JFVT;416794.48953168956;3518321.455785711;5285997.749767193
2022-04-24;NSK1;436462.98747222056;3547037.882399188;5265322.607809803
2022-04-24;NUNA;460122.33371877624;3535053.164260508;5271334.284882102
2022-04-24;WTFM;459648.37060910143;3552282.8567952625;5259827.903774071
2022-04-24;IINA;431923.1883415448;3529050.9111734265;5277710.9727139035
2022-04-24;KQTD;454059.62521966227;3516807.378078876;5283944.113369657
2022-04-24;ECZL;434793.89601556445;3509795.181568294;5290180.092662107
2022-04-24;YBTT;441271.80253113894;3569835.38337929;5249606.658102826
2022-04-24;UNPX;408436.8753279941;3545350.8896511868;5268697.270278704
2022-04-24;LDPU;462059.1497241138;3573246.5158282444;5245503.915309365
2022-04-24;JFVT;416794.48859078606;3518321.4556914493;5285997.750272496
2022-05-01;NSK1;436462.9888931774;3547037.8847368164;5265322.610724855
2022-05-01;NUNA;460122.3463816139;3535053.1778400177;5271334.299039033
2022-05-01;WTFM;459648.36994809733;3552282.8570509306;5259827.904607161
2022-05-01;IINA;431923.19165743835;3529050.915405992;5277710.977523891
2022-05-01;KQTD;454059.6229808523;3516807.376756738;5283944.112624941
2022-05-01;ECZL;434793.89630686614;3509795.1827762676;5290180.094447503
2022-05-01;YBTT;441271.79807511444;3569835.379839937;5249606.655140896
2022-05-01;UNPX;408436.87415964314;3545350.8893995075;5268697.270604448
2022-05-01;LDPU;462059.15213696565;3573246.519157768;5245503.919216312
2022-05-01;JFVT;416794.4877296841;3518321.4557470195;5285997.750905488
2022-05-08;NSK1;436462.9843297145;3547037.881158477;5265322.6076943735
2022-05-08;NUNA;460122.33528365067;3535053.167727178;5271334.289474051
2022-05-08;WTFM;459648.3702281816;3552282.8583161384;5259827.906420226
2022-05-08;IINA;431923.19407376094;3529050.918807438;5277710.981473195
2022-05-08;KQTD;454059.6308337399;3516807.385594749;5283944.12201081
2022-05-08;ECZL;434793.89862166514;3509795.1860761903;5290180.0982952835
2022-05-08;YBTT;441271.80063627136;3569835.3833862175;5249606.659235035
2022-05-08;UNPX;408436.87427299574;3545350.8904979834;5268697.272250782
2022-05-08;LDPU;462059.14981179574;3573246.5178177217;5245503.918424123
2022-05-08;JFVT;416794.48714294797;3518321.4561454067;5285997.751851733
2022-05-15;NSK1;436462.98942021694;3547037.8872963474;5265322.614345255
2022-05-15;NUNA;460122.33887833805;3535053.1723692333;5271334.294629119
2022-05-15;WTFM;459648.37516908674;3552282.8643044117;5259827.912921511
2022-05-15;IINA;431923.19353425934;3529050.919315304;5277710.982494073
2022-05-15;KQTD;454059.6273551609;3516807.3831635383;5283944.120092611
2022-05-15;ECZL;434793.90172620333;3509795.190228096;5290180.102960201
2022-05-15;YBTT;441271.80742047814;3569835.3912177924;5249606.667579621
2022-05-15;UNPX;408436.88179086114;3545350.899063217;5268697.281329027
2022-05-15;LDPU;462059.1549287612;3573246.523982055;5245503.925101468
2022-05-15;JFVT;416794.4905010642;3518321.460550891;5285997.756770229
2022-05-22;NSK1;436462.98965251294;3547037.888627578;5265322.616151383
2022-05-22;NUNA;460122.3382261305;3535053.1728159604;5271334.295550743
2022-05-22;WTFM;459648.3710127975;3552282.861247057;5259827.910339053
2022-05-22;IINA;431923.197325224;3529050.9242052035;5277710.987858869
2022-05-22;KQTD;454059.6300337321;3516807.386941044;5283944.124345013
2022-05-22;ECZL;434793.8999695873;3509795.189570415;5290180.102777417
2022-05-22;YBTT;441271.8047893919;3569835.389685641;5249606.666522366
2022-05-22;UNPX;408436.88014611177;3545350.8985174024;5268697.281258109
2022-05-22;LDPU;462059.15491684515;3573246.525069074;5245503.926663383
2022-05-22;JFVT;416794.4942662447;3518321.465415006;5285997.7621092405
2022-05-29;NSK1;436462.9894339709;3547037.8895448116;5265322.617503912
